WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested,Lat,Long
Aaron,Douglas,zebra mussel,2020,-95.45,45.93
Adley,Otter Tail,zebra mussel,2016,-95.71,46.41
Agnes,Douglas,zebra mussel,2022,-95.45,45.93
Alexander,Morrison,Eurasian watermilfoil,2004,-94.21,46.07
Alexander,Morrison,zebra mussel,2019,-94.21,46.07
Alice,Washington,Eurasian watermilfoil,2013,-92.88,45.02
Alimagnet,Dakota,Eurasian watermilfoil,2014,-93.03,44.7
Alstead Mine,Crow Wing,zebra mussel,2017,-94.09,46.48
Alvin,Douglas,zebra mussel,2009,-95.45,45.93
Amelia,Anoka,flowering rush,2014,-93.27,45.23
Amelia,Pope,zebra mussel,2018,-95.44,45.6
Amor,Otter Tail,zebra mussel,2019,-95.71,46.41
Anderson's Marsh,Jackson,bighead carp,2012,-95.16,43.67
Anderson's Marsh,Jackson,silver carp,2012,-95.16,43.67
Andrew,Kandiyohi,Eurasian watermilfoil,2019,-95.01,45.15
Andrew,Douglas,zebra mussel,2016,-95.45,45.93
Andrew,Kandiyohi,zebra mussel,2018,-95.01,45.15
Andrusia,Beltrami,zebra mussel,2014,-95.01,47.98
Ann,Carver,brittleleaf naiad,2017,-93.77,44.81
Ann,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Annie Battle,Otter Tail,zebra mussel,2018,-95.71,46.41
Arbor North (NW 1/4 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Arbor South (S 1/2 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Arbor West,Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Arco Mine,Crow Wing,zebra mussel,2017,-94.09,46.48
Armour #2 Mine,Crow Wing,zebra mussel,2020,-94.09,46.48
Armstrong Slough,Murray,zebra mussel,2022,-95.77,44.02
Arrowhead,Hennepin,Eurasian watermilfoil,1996,-93.47,45.02
Arrowhead,Crow Wing,zebra mussel,2014,-94.09,46.48
Artlip,Lake,zebra mussel,2014,-91.41,47.57
Ash River downstream of the northern section line of S8 T68N R19W,St. Louis,spiny waterflea,2007,-92.38,47.5
Auburn,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Augusta,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Bad Axe,Hubbard,Eurasian watermilfoil,2017,-94.92,47.11
Bald Eagle,Ramsey,Eurasian watermilfoil,1995,-93.11,45.01
Bald Eagle,Ramsey,flowering rush,2014,-93.11,45.01
Bald Eagle,Ramsey,zebra mussel,2018,-93.11,45.01
Ball Club,Itasca,zebra mussel,2020,-93.73,47.46
Ballantyne,Blue Earth,Eurasian watermilfoil,2013,-94.07,44.06
Barbour,Crow Wing,zebra mussel,2021,-94.09,46.48
Barrett,Grant,zebra mussel,2018,-96.01,45.93
Bass,Faribault,Eurasian watermilfoil,2019,-93.95,43.68
Bass,Hennepin,Eurasian watermilfoil,1998,-93.47,45.02
Bass,Anoka,flowering rush,2014,-93.27,45.23
Bass,Crow Wing,zebra mussel,2022,-94.09,46.48
Bass,Otter Tail,zebra mussel,2009,-95.71,46.41
Bass (or Ray),Cass,zebra mussel,2010,-94.29,46.88
Basswood,Lake,spiny waterflea,2014,-91.41,47.57
Basswood River between Basswood Lake and Crooked Lake,Lake,spiny waterflea,2014,-91.41,47.57
Baudette River from 500 feet upstream of Highway 11 downstream to the Rainy River ,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Bavaria,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Baxter,Isanti,Eurasian watermilfoil,2018,-93.26,45.58
Bay,Crow Wing,Eurasian watermilfoil,1995,-94.09,46.48
Bay,Crow Wing,zebra mussel,2018,-94.09,46.48
Bear,Carlton,Eurasian watermilfoil,2015,-92.68,46.59
Beaudry,Sherburne,zebra mussel,2021,-93.83,45.41
Beaver,Ramsey,Eurasian watermilfoil,2005,-93.11,45.01
Becker,Stearns,zebra mussel,2018,-94.59,45.53
Beebe,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Belle,McLeod,Eurasian watermilfoil,2018,-94.26,44.81
Beltrami,Beltrami,starry stonewort,2019,-95.01,47.98
Bemidji (main lake),Beltrami,starry stonewort,2022,-95.01,47.98
Bemidji (main lake),Beltrami,zebra mussel,2018,-95.01,47.98
Benedict,Hubbard,zebra mussel,2017,-94.92,47.11
Bertha,Crow Wing,zebra mussel,2014,-94.09,46.48
Big,Sherburne,Eurasian watermilfoil,2007,-93.83,45.41
Big,Beltrami,zebra mussel,2021,-95.01,47.98
Big,Sherburne,zebra mussel,2020,-93.83,45.41
Big Cormorant,Becker,zebra mussel,2015,-95.68,46.94
Big Fish,Stearns,zebra mussel,2018,-94.59,45.53
Big Fork River from 500 feet upstream of the public water access on Highway 11 downstream to the Rainy River,Koochiching,spiny waterflea,2007,-93.76,48.28
Big Marine,Washington,Eurasian watermilfoil,2005,-92.88,45.02
Big McDonald,Otter Tail,zebra mussel,2019,-95.71,46.41
Big McDonald #2,Otter Tail,zebra mussel,2019,-95.71,46.41
Big Pine,Aitkin,zebra mussel,2018,-93.43,46.66
Big Pine,Crow Wing,zebra mussel,2014,-94.09,46.48
Big Pine,Otter Tail,zebra mussel,2020,-95.71,46.41
Big Rice,Beltrami,zebra mussel,2014,-95.01,47.98
Big Sandy,Aitkin,flowering rush,2009,-93.43,46.66
Big Trout,Crow Wing,zebra mussel,2014,-94.09,46.48
Big Watab,Stearns,zebra mussel,2020,-94.59,45.53
Birch,Ramsey,Eurasian watermilfoil,2006,-93.11,45.01
Birch,Sherburne,Eurasian watermilfoil,2020,-93.83,45.41
Birch,Wright,Eurasian watermilfoil,2019,-93.89,45.2
Bird's Eye,Itasca,zebra mussel,2013,-93.73,47.46
Bishop Creek between North Long and Round (also known as Sugar Bush Creek),Crow Wing,zebra mussel,2015,-94.09,46.48
Bishop Creek between Round and Gull,Crow Wing,zebra mussel,2010,-94.09,46.48
Black Bear,Crow Wing,zebra mussel,2006,-94.09,46.48
Black River the south branch downstream of Highway 11 and the west branch downstream of Highway 147,Koochiching,spiny waterflea,2007,-93.76,48.28
Black River the south branch downstream of Highway 11 and the west branch downstream of Highway 147,Koochiching,spiny waterflea,2007,-93.76,48.28
Blackduck,Beltrami,faucet snail,2018,-95.01,47.98
Blackhawk,Dakota,Eurasian watermilfoil,2017,-93.03,44.7
Blacks,Sherburne,zebra mussel,2021,-93.83,45.41
Blackwater,Itasca,faucet snail,2016,-93.73,47.46
Blackwell,Douglas,zebra mussel,2021,-95.45,45.93
Blanche,Otter Tail,zebra mussel,2018,-95.71,46.41
Bloody,Murray,zebra mussel,2022,-95.77,44.02
Blueberry,Wadena,faucet snail,2018,-94.95,46.59
Bolfing,Stearns,zebra mussel,2017,-94.59,45.53
Bone,Washington,Eurasian watermilfoil,2007,-92.88,45.02
Bone,Washington,zebra mussel,2019,-92.88,45.02
Boom,Crow Wing,zebra mussel,2006,-94.09,46.48
Bottle,St. Louis,spiny waterflea,2014,-92.38,47.5
Bottle River between Bottle Lake and Lac La Croix,St. Louis,spiny waterflea,2014,-92.38,47.5
Boulder,Hubbard,faucet snail,2020,-94.92,47.11
Bowen,Cass,starry stonewort,2022,-94.29,46.88
Bowstring,Itasca,faucet snail,2015,-93.73,47.46
Bowstring,Itasca,zebra mussel,2020,-93.73,47.46
Bowstring River from Sand downstream to Rice ,Itasca,zebra mussel,2013,-93.73,47.46
Breckenridge,Wilkin,zebra mussel,2013,-96.52,46.33
Bridge,Dakota,Eurasian watermilfoil,2016,-93.03,44.7
Brophy ,Douglas,zebra mussel,2011,-95.45,45.93
Brown,Otter Tail,zebra mussel,2019,-95.71,46.41
Brownie,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Bryant,Hennepin,brittleleaf naiad,2020,-93.47,45.02
Bryant,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Bryant,Hennepin,zebra mussel,2015,-93.47,45.02
Buchanan,Otter Tail,zebra mussel,2022,-95.71,46.41
Buck,Becker,flowering rush,2009,-95.68,46.94
Buck,Becker,zebra mussel,2012,-95.68,46.94
Buck,Beltrami,zebra mussel,2014,-95.01,47.98
Bucks Mill Pond,Becker,zebra mussel,2014,-95.68,46.94
Buffalo,Wright,Eurasian watermilfoil,1999,-93.89,45.2
Buffalo,Wright,zebra mussel,2022,-93.89,45.2
Burandt,Carver,Eurasian watermilfoil,2004,-93.77,44.81
Burandt,Carver,zebra mussel,2017,-93.77,44.81
Burgen,Douglas,zebra mussel,2017,-95.45,45.93
Burntside,St. Louis,spiny waterflea,2010,-92.38,47.5
Burntside River between Burntside and Shagawa,St. Louis,spiny waterflea,2010,-92.38,47.5
Bush,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Byllesby,Dakota,flowering rush,2016,-93.03,44.7
Calhoun,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Calhoun,Kandiyohi,Eurasian watermilfoil,2010,-95.01,45.15
Calhoun,Hennepin,zebra mussel,2018,-93.47,45.02
Calhoun,Kandiyohi,zebra mussel,2014,-95.01,45.15
Camp,Wright,Eurasian watermilfoil,2013,-93.89,45.2
Camp Galilee,Washington,Eurasian watermilfoil,2007,-92.88,45.02
Canisteo Pit,Itasca,zebra mussel,2022,-93.73,47.46
Cannon,Rice,flowering rush,2007,-93.28,44.37
Caribou (in the Boundary Waters Canoe Area just west of Pine),Cook,spiny waterflea,2007,-90.27,47.73
Carlos,Douglas,Eurasian watermilfoil,2012,-95.45,45.93
Carlos,Douglas,zebra mussel,2009,-95.45,45.93
Carnelian,Stearns,starry stonewort,2020,-94.59,45.53
Caroline,Wright,Eurasian watermilfoil,2009,-93.89,45.2
Carr,Beltrami,zebra mussel,2018,-95.01,47.98
Cass,Beltrami,starry stonewort,2016,-95.01,47.98
Cass,Beltrami,zebra mussel,2014,-95.01,47.98
Cate's,Scott,Eurasian watermilfoil,2007,-93.6,44.68
Cedar,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Cedar,McLeod,Eurasian watermilfoil,2013,-94.26,44.81
Cedar,Rice,Eurasian watermilfoil,2001,-93.28,44.37
Cedar,Wright,Eurasian watermilfoil,2010,-93.89,45.2
Cedar,Aitkin,zebra mussel,2021,-93.43,46.66
Cedar,Wright,zebra mussel,2017,-93.89,45.2
Cedar Island,Stearns,zebra mussel,2018,-94.59,45.53
Cenaiko,Anoka,Eurasian watermilfoil,1995,-93.27,45.23
Centerville,Anoka,Eurasian watermilfoil,1999,-93.27,45.23
Charley,Douglas,zebra mussel,2014,-95.45,45.93
Charley,Ramsey,zebra mussel,2007,-93.11,45.01
Charlotte,Wright,Eurasian watermilfoil,2014,-93.89,45.2
Chippewa,Douglas,zebra mussel,2017,-95.45,45.93
Chisago,Chisago,Eurasian watermilfoil,2010,-92.89,45.51
Christmas,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Christmas,Hennepin,zebra mussel,2014,-93.47,45.02
Chub,Carlton,Eurasian watermilfoil,2009,-92.68,46.59
Circle,Rice,Eurasian watermilfoil,2011,-93.28,44.37
Clamshell,Crow Wing,zebra mussel,2014,-94.09,46.48
Clark,Crow Wing,zebra mussel,2017,-94.09,46.48
Clear,Jackson,bighead carp,2012,-95.16,43.67
Clear,Meeker,Eurasian watermilfoil,2014,-94.51,45.11
Clear,Waseca,Eurasian watermilfoil,2006,-93.59,44.02
Clear,Washington,Eurasian watermilfoil,2007,-92.88,45.02
Clear,Jackson,silver carp,2012,-95.16,43.67
Clear,Crow Wing,zebra mussel,2022,-94.09,46.48
Clearwater,Crow Wing,Eurasian watermilfoil,2011,-94.09,46.48
Clearwater,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Clearwater River downstream of Clearwater including 500 feet upstream into its tributaries,Wright,Eurasian watermilfoil,1999,-93.89,45.2
Clinker,Crow Wing,zebra mussel,2022,-94.09,46.48
Clitherall,Otter Tail,zebra mussel,2021,-95.71,46.41
Cloquet River from Island Lake to the St. Louis River,St. Louis,spiny waterflea,1995,-92.38,47.5
Cobblestone,Dakota,Eurasian watermilfoil,2012,-93.03,44.7
Colby,Washington,Eurasian watermilfoil,2012,-92.88,45.02
Comfort,Chisago,Eurasian watermilfoil,2014,-92.89,45.51
Comfort,Chisago,zebra mussel,2017,-92.89,45.51
Constance,Wright,Eurasian watermilfoil,2016,-93.89,45.2
Coon,Anoka,Eurasian watermilfoil,2004,-93.27,45.23
Coon-Sandwick,Itasca,Eurasian watermilfoil,2014,-93.73,47.46
County ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012,-95.16,43.67
County ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012,-95.16,43.67
County ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012,-95.16,43.67
County ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012,-95.16,43.67
Courthouse,Carver,Eurasian watermilfoil,2016,-93.77,44.81
Cowdry (Cowdrey),Douglas,zebra mussel,2011,-95.45,45.93
Crane,St. Louis,spiny waterflea,2007,-92.38,47.5
Crooked,Anoka,Eurasian watermilfoil,1995,-93.27,45.23
Crooked,Crow Wing,Eurasian watermilfoil,2018,-94.09,46.48
Crooked,Lake,spiny waterflea,2014,-91.41,47.57
Crooked,Douglas,zebra mussel,2022,-95.45,45.93
Crooked,Lake,zebra mussel,2014,-91.41,47.57
Crookneck,Morrison,Eurasian watermilfoil,2018,-94.21,46.07
Crookneck,Morrison,zebra mussel,2018,-94.21,46.07
Cross,Pine,Eurasian watermilfoil,2005,-92.72,46.07
Cross,Crow Wing,zebra mussel,2014,-94.09,46.48
Crystal,Dakota,Eurasian watermilfoil,1995,-93.03,44.7
Crystal,Otter Tail,zebra mussel,2009,-95.71,46.41
Curfman (Deadshot Bay),Becker,flowering rush,2007,-95.68,46.94
Cut Foot Sioux,Itasca,faucet snail,2009,-93.73,47.46
Cut Foot Sioux,Itasca,zebra mussel,2013,-93.73,47.46
Dade,Cass,zebra mussel,2020,-94.29,46.88
Daggett,Crow Wing,zebra mussel,2014,-94.09,46.48
Darling,Douglas,zebra mussel,2009,-95.45,45.93
Davies,Otter Tail,zebra mussel,2019,-95.71,46.41
Dayton Hollow Reservoir,Otter Tail,zebra mussel,2013,-95.71,46.41
Dead,Otter Tail,zebra mussel,2019,-95.71,46.41
Dead River,St. Louis,spiny waterflea,2010,-92.38,47.5
Deer,Wright,Eurasian watermilfoil,2000,-93.89,45.2
Deer,Otter Tail,zebra mussel,2017,-95.71,46.41
Deer,Wright,zebra mussel,2023,-93.89,45.2
DeMontreville,Washington,Eurasian watermilfoil,2009,-92.88,45.02
Detroit,Becker,flowering rush,2007,-95.68,46.94
Detroit,Becker,zebra mussel,2016,-95.68,46.94
Devil Track,Cook,spiny waterflea,2008,-90.27,47.73
Devilfish,Cook,spiny waterflea,2016,-90.27,47.73
Devils,Douglas,zebra mussel,2017,-95.45,45.93
Dora,Itasca,zebra mussel,2017,-93.73,47.46
Duck,Hennepin,Eurasian watermilfoil,2020,-93.47,45.02
Duck,Hubbard,faucet snail,2019,-94.92,47.11
Dutch,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Dutch,Wright,Eurasian watermilfoil,2016,-93.89,45.2
Eagle,Carver,Eurasian watermilfoil,2001,-93.77,44.81
Eagle,Sherburne,Eurasian watermilfoil,2006,-93.83,45.41
Eagle,Becker,zebra mussel,2021,-95.68,46.94
Eagle,Kandiyohi,zebra mussel,2018,-95.01,45.15
Eagle,Otter Tail,zebra mussel,2019,-95.71,46.41
Eagle,Stearns,zebra mussel,2019,-94.59,45.53
Eagle (includes North and South Eagle),Blue Earth,Eurasian watermilfoil,2015,-94.07,44.06
Eagle (includes Pike),Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Earley,Dakota,Eurasian watermilfoil,2006,-93.03,44.7
East Battle,Otter Tail,zebra mussel,2019,-95.71,46.41
East Jefferson,Le Sueur,Eurasian watermilfoil,2004,-93.78,44.37
East Lake Sylvia,Wright,zebra mussel,2016,-93.89,45.2
East Loon,Otter Tail,zebra mussel,2018,-95.71,46.41
East Lost,Otter Tail,zebra mussel,2017,-95.71,46.41
East Mahnomen,Crow Wing,zebra mussel,2021,-94.09,46.48
East Red River,Otter Tail,zebra mussel,2017,-95.71,46.41
East Silent,Otter Tail,zebra mussel,2018,-95.71,46.41
East Spirit,Otter Tail,zebra mussel,2016,-95.71,46.41
East Sylvia (was Twin),Wright,Eurasian watermilfoil,2008,-93.89,45.2
East Twin,St. Louis,spiny waterflea,2010,-92.38,47.5
Edina,Hennepin,Eurasian watermilfoil,2017,-93.47,45.02
Edina Mill Pond,Hennepin,zebra mussel,2010,-93.47,45.02
Edward,Crow Wing,zebra mussel,2017,-94.09,46.48
Egg,Itasca,faucet snail,2009,-93.73,47.46
Egg,Itasca,zebra mussel,2013,-93.73,47.46
Elk,Sherburne,Eurasian watermilfoil,2020,-93.83,45.41
Elk,Grant,zebra mussel,2017,-96.01,45.93
Elkhorn,Kandiyohi,Eurasian watermilfoil,2017,-95.01,45.15
Elkhorn,Kandiyohi,zebra mussel,2018,-95.01,45.15
Ellen,Chisago,Eurasian watermilfoil,1999,-92.89,45.51
Ellingson,Grant,zebra mussel,2022,-96.01,45.93
Elmo,Washington,Eurasian watermilfoil,2006,-92.88,45.02
Ely,St. Louis,zebra mussel,2021,-92.38,47.5
Emily,Crow Wing,Eurasian watermilfoil,2014,-94.09,46.48
Emily,Pope,Eurasian watermilfoil,2014,-95.44,45.6
Emily,Pope,zebra mussel,2012,-95.44,45.6
Emma,Wright,Eurasian watermilfoil,2007,-93.89,45.2
Erie,Meeker,Eurasian watermilfoil,2014,-94.51,45.11
Eunice,Becker,zebra mussel,2015,-95.68,46.94
Faille,Todd,zebra mussel,2016,-94.9,46.07
Fall,Lake,spiny waterflea,2014,-91.41,47.57
Fannie,Isanti,Eurasian watermilfoil,2019,-93.26,45.58
Farm Island,Aitkin,zebra mussel,2020,-93.43,46.66
Firemen?s,Carver,Eurasian watermilfoil,1997,-93.77,44.81
First Crow Wing,Hubbard,faucet snail,2011,-94.92,47.11
First River Lake,Itasca,faucet snail,2009,-93.73,47.46
First River Lake,Itasca,zebra mussel,2013,-93.73,47.46
Fish,Chisago,Eurasian watermilfoil,2007,-92.89,45.51
Fish,Dakota,Eurasian watermilfoil,2009,-93.03,44.7
Fish,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Fish,Wright,Eurasian watermilfoil,2004,-93.89,45.2
Fish,St. Louis,spiny waterflea,1995,-92.38,47.5
Fish,Hennepin,zebra mussel,2022,-93.47,45.02
Fish,Otter Tail,zebra mussel,2009,-95.71,46.41
Fish,Wright,zebra mussel,2006,-93.89,45.2
Fish Trap,Morrison,zebra mussel,2015,-94.21,46.07
Florida,Kandiyohi,Eurasian watermilfoil,2009,-95.01,45.15
Florida,Kandiyohi,zebra mussel,2016,-95.01,45.15
Flour,Cook,spiny waterflea,2005,-90.27,47.73
Floyd,Becker,zebra mussel,2018,-95.68,46.94
Forest,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Forest,Washington,Eurasian watermilfoil,2015,-92.88,45.02
Forest,Washington,flowering rush,2007,-92.88,45.02
Forest,Hennepin,zebra mussel,2012,-93.47,45.02
Forest,Washington,zebra mussel,2015,-92.88,45.02
Fourth Crow Wing,Hubbard,faucet snail,2019,-94.92,47.11
Fox,Rice,Eurasian watermilfoil,2009,-93.28,44.37
Frances,Le Sueur,Eurasian watermilfoil,2017,-93.78,44.37
Francis,Meeker,zebra mussel,2021,-94.51,45.11
Franklin,Otter Tail,zebra mussel,2016,-95.71,46.41
Fredrickson Slough,Sherburne,Eurasian watermilfoil,2018,-93.83,45.41
Fremont,Murray,zebra mussel,2022,-95.77,44.02
French,Aitkin,Eurasian watermilfoil,2019,-93.43,46.66
French,Rice,Eurasian watermilfoil,2009,-93.28,44.37
French,Wright,Eurasian watermilfoil,2002,-93.89,45.2
Galpin,Hennepin,Eurasian watermilfoil,2001,-93.47,45.02
Games,Kandiyohi,Eurasian watermilfoil,2014,-95.01,45.15
Games,Kandiyohi,zebra mussel,2018,-95.01,45.15
Garfield,Hubbard,zebra mussel,2017,-94.92,47.11
Geneva,Douglas,Eurasian watermilfoil,2022,-95.45,45.93
Geneva,Douglas,zebra mussel,2009,-95.45,45.93
