WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested,Lat,Long
Silver,Ramsey,Eurasian watermilfoil,2021,-93.11,45.01
Silver,Wright,Eurasian watermilfoil,2011,-93.89,45.2
Silver Creek  from 500 feet upstream of Highway 11 to the Rainy River,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Skoglund Slough,Douglas,zebra mussel,2014,-95.45,45.93
Skogman,Isanti,Eurasian watermilfoil,2014,-93.26,45.58
Skunk,Jackson,bighead carp,2012,-95.16,43.67
Skunk,Jackson,silver carp,2012,-95.16,43.67
Smetana,Hennepin,Eurasian watermilfoil,2020,-93.47,45.02
Smith,Crow Wing,zebra mussel,2021,-94.09,46.48
Smith,Douglas,zebra mussel,2022,-95.45,45.93
Snail,Ramsey,Eurasian watermilfoil,2000,-93.11,45.01
Snake River between Pokegama and Cross including 500 feet upstream into its tributaries,Pine,Eurasian watermilfoil,2005,-92.72,46.07
Snelling,Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Somers,Wright,Eurasian watermilfoil,2014,-93.89,45.2
South Center,Chisago,Eurasian watermilfoil,2009,-92.89,45.51
South Coon,Anoka,Eurasian watermilfoil,2010,-93.27,45.23
South Fowl,Cook,spiny waterflea,2010,-90.27,47.73
South Lindstrom,Chisago,Eurasian watermilfoil,2010,-92.89,45.51
South Long,Crow Wing,faucet snail,2021,-94.09,46.48
South Long,Crow Wing,zebra mussel,2021,-94.09,46.48
South Twin,Itasca,Eurasian watermilfoil,2016,-93.73,47.46
South Twin,Itasca,flowering rush,2007,-93.73,47.46
South Twin,Mahnomen,zebra mussel,2019,-95.81,47.32
Southeast Anderson,Hennepin,Eurasian watermilfoil,2017,-93.47,45.02
Spectacle,Isanti,Eurasian watermilfoil,2007,-93.26,45.58
Spectacle,Isanti,zebra mussel,2019,-93.26,45.58
Spider,Itasca,flowering rush,2014,-93.73,47.46
Spider,Cass,zebra mussel,2010,-94.29,46.88
Spirit,Jackson,bighead carp,2012,-95.16,43.67
Spirit,Jackson,silver carp,2012,-95.16,43.67
Spoon Creek between Keller and Phalen lakes,Ramsey,Eurasian watermilfoil,1999,-93.11,45.01
Sprague,Rice,flowering rush,2014,-93.28,44.37
Spring,Scott,Eurasian watermilfoil,2021,-93.6,44.68
Spring,Grant,zebra mussel,2017,-96.01,45.93
Spring,Scott,zebra mussel,2022,-93.6,44.68
St James Pit,St. Louis,zebra mussel,2021,-92.38,47.5
St. Anna,Stearns,Eurasian watermilfoil,2014,-94.59,45.53
St. Clair,Becker,zebra mussel,2020,-95.68,46.94
St. Croix River,Washington,Eurasian watermilfoil,1995,-92.88,45.02
St. Croix River downstream of the St.Croix Boomsite Recreation Area at river mile 25.4,Washington,zebra mussel,2001,-92.88,45.02
Stalker,Otter Tail,flowering rush,2018,-95.71,46.41
Star,Otter Tail,zebra mussel,2019,-95.71,46.41
Staring,Hennepin,brittleleaf naiad,2015,-93.47,45.02
Staring,Hennepin,Eurasian watermilfoil,2015,-93.47,45.02
Steamboat,Cass,zebra mussel,2017,-94.29,46.88
Steiger,Carver,Eurasian watermilfoil,2002,-93.77,44.81
Stella,Meeker,Eurasian watermilfoil,1999,-94.51,45.11
Stella,Meeker,zebra mussel,2015,-94.51,45.11
Stocking,Wadena,faucet snail,2022,-94.95,46.59
Stone,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Stoney (Stony),Douglas,zebra mussel,2011,-95.45,45.93
Stowe,Douglas,zebra mussel,2017,-95.45,45.93
Stuart,Otter Tail,zebra mussel,2022,-95.71,46.41
Sturgeon,Pine,Eurasian watermilfoil,2008,-92.72,46.07
Sucker,Ramsey,Eurasian watermilfoil,1996,-93.11,45.01
Sucker,Ramsey,zebra mussel,2007,-93.11,45.01
Sugar,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Sugar,Itasca,faucet snail,2009,-93.73,47.46
Sugar,Itasca,zebra mussel,2013,-93.73,47.46
Sugar,Wright,zebra mussel,2018,-93.89,45.2
Sunfish,Washington,Eurasian watermilfoil,2019,-92.88,45.02
Sunnybrook,Washington,Eurasian watermilfoil,2019,-92.88,45.02
Sunset,Washington,Eurasian watermilfoil,2001,-92.88,45.02
Sunset Pond,Dakota,Eurasian watermilfoil,2004,-93.03,44.7
Susan,Carver,brittleleaf naiad,2019,-93.77,44.81
Susan,Carver,Eurasian watermilfoil,2005,-93.77,44.81
Swan,Kandiyohi,zebra mussel,2018,-95.01,45.15
Swan,Otter Tail,zebra mussel,2019,-95.71,46.41
Swan (located in the NW 1/4 of the NW 1/4 of S4 T117N R23W),Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Swede,Carver,Eurasian watermilfoil,2008,-93.77,44.81
Swede's Bay (DOW 40-0092-03),Le Sueur,Eurasian watermilfoil,2015,-93.78,44.37
Swift Ditch from 500 feet upstream of Highway 12 downstream to Lake of the Woods,Roseau,spiny waterflea,2011,-95.75,48.78
Sybil,Otter Tail,zebra mussel,2016,-95.71,46.41
Sylvan,Cass,zebra mussel,2020,-94.29,46.88
Sylvia,Stearns,Eurasian watermilfoil,2011,-94.59,45.53
Sylvia,Stearns,zebra mussel,2015,-94.59,45.53
Tanager,Hennepin,Eurasian watermilfoil,1999,-93.47,45.02
Tanager,Hennepin,zebra mussel,2012,-93.47,45.02
Ten Mile,Cass,zebra mussel,2019,-94.29,46.88
Ten Mile,Otter Tail,zebra mussel,2017,-95.71,46.41
Tetonka,Le Sueur,Eurasian watermilfoil,2016,-93.78,44.37
Tetonka,Le Sueur,flowering rush,2009,-93.78,44.37
Third Crow Wing,Hubbard,faucet snail,2018,-94.92,47.11
Third River downstream of Highway 33,Itasca,faucet snail,2009,-93.73,47.46
Third River downstream of Highway 33,Itasca,zebra mussel,2013,-93.73,47.46
Third River Flowage,Itasca,faucet snail,2009,-93.73,47.46
Third River Flowage,Itasca,zebra mussel,2013,-93.73,47.46
Thole,Scott,Eurasian watermilfoil,2002,-93.6,44.68
Thomas,Dakota,Eurasian watermilfoil,2012,-93.03,44.7
Thompson,Dakota,Eurasian watermilfoil,2021,-93.03,44.7
Threemile Creek between Otter and Clearwater,Stearns,zebra mussel,2015,-94.59,45.53
Thunder,Cass,starry stonewort,2022,-94.29,46.88
Thunder,Cass,zebra mussel,2022,-94.29,46.88
Tilde,Clay,red swamp crayfish,2016,-96.5,46.94
Torgerson,Douglas,zebra mussel,2022,-95.45,45.93
Town Line,Cass,Eurasian watermilfoil,2009,-94.29,46.88
Trout,Itasca,flowering rush,2015,-93.73,47.46
Trout,Cook,spiny waterflea,2013,-90.27,47.73
Trowbridge,Otter Tail,zebra mussel,2021,-95.71,46.41
Turner,Crow Wing,zebra mussel,2022,-94.09,46.48
Turtle,Ramsey,Eurasian watermilfoil,2000,-93.11,45.01
Turtle,Beltrami,starry stonewort,2016,-95.01,47.98
Turtle,Becker,zebra mussel,2021,-95.68,46.94
Turtle,Douglas,zebra mussel,2014,-95.45,45.93
Turtle,Grant,zebra mussel,2017,-96.01,45.93
Turtle River,Beltrami,starry stonewort,2022,-95.01,47.98
Tustin,Le Sueur,Eurasian watermilfoil,2022,-93.78,44.37
Twin,Hennepin,Eurasian watermilfoil,2007,-93.47,45.02
Twin Lakes,Dakota,Eurasian watermilfoil,1997,-93.03,44.7
Union,Polk,Eurasian watermilfoil,2007,-96.34,47.84
Unnamed,Dakota,Eurasian watermilfoil,2016,-93.03,44.7
Unnamed,Hennepin,Eurasian watermilfoil,2019,-93.47,45.02
Unnamed,Becker,zebra mussel,2019,-95.68,46.94
Unnamed,Becker,zebra mussel,2020,-95.68,46.94
Unnamed,Crow Wing,zebra mussel,2006,-94.09,46.48
Unnamed,Douglas,zebra mussel,2014,-95.45,45.93
Unnamed,Douglas,zebra mussel,2014,-95.45,45.93
Unnamed,Douglas,zebra mussel,2022,-95.45,45.93
Unnamed,Douglas,zebra mussel,2022,-95.45,45.93
Unnamed,Douglas,zebra mussel,2022,-95.45,45.93
Unnamed,Otter Tail,zebra mussel,2021,-95.71,46.41
Unnamed,Otter Tail,zebra mussel,2019,-95.71,46.41
Unnamed,Otter Tail,zebra mussel,2019,-95.71,46.41
Unnamed,Otter Tail,zebra mussel,2018,-95.71,46.41
Unnamed,Wright,zebra mussel,2023,-93.89,45.2
Unnamed (Black Tern Pond),Ramsey,Eurasian watermilfoil,2016,-93.11,45.01
Unnamed (Deer),Wright,zebra mussel,2023,-93.89,45.2
Unnamed (Grace),Carver,Eurasian watermilfoil,2016,-93.77,44.81
Unnamed (Hay),Dakota,flowering rush,2018,-93.03,44.7
Unnamed (Lily Pond),Dakota,Eurasian watermilfoil,2016,-93.03,44.7
Unnamed (Mill Pond),Otter Tail,zebra mussel,2012,-95.71,46.41
Unnamed (Nick's Marsh),Otter Tail,zebra mussel,2019,-95.71,46.41
Unnamed (Schwanz),Dakota,Eurasian watermilfoil,2022,-93.03,44.7
Unnamed creek between Anderson?s Marsh and Pearl,Jackson,bighead carp,2012,-95.16,43.67
Unnamed creek between Anderson?s Marsh and Pearl,Jackson,silver carp,2012,-95.16,43.67
Unnamed creek between Crooked Lake and Houghtaling Creek,Lake,zebra mussel,2014,-91.41,47.57
Unnamed creek between Pearl and Loon ,Jackson,bighead carp,2012,-95.16,43.67
Unnamed creek between Pearl and Loon ,Jackson,silver carp,2012,-95.16,43.67
Unnamed creek between Rush and Anderson?s Marsh,Jackson,bighead carp,2012,-95.16,43.67
Unnamed creek between Rush and Anderson?s Marsh,Jackson,silver carp,2012,-95.16,43.67
Unnamed gravel pit (located in S 1/2 of S14 T41N R21W),Pine,Eurasian watermilfoil,2005,-92.72,46.07
Unnamed gravel pit (located in S16 T108 R20W),Steele,Eurasian watermilfoil,2012,-93.23,44.02
Unnamed lake,Jackson,bighead carp,2012,-95.16,43.67
Unnamed lake,Jackson,bighead carp,2012,-95.16,43.67
Unnamed lake,Jackson,bighead carp,2012,-95.16,43.67
Unnamed Lake,Dakota,flowering rush,2007,-93.03,44.7
Unnamed lake,Jackson,silver carp,2012,-95.16,43.67
Unnamed lake,Jackson,silver carp,2012,-95.16,43.67
Unnamed lake,Jackson,silver carp,2012,-95.16,43.67
Unnamed Lake in Springbrook Nature Center,Anoka,Eurasian watermilfoil,1995,-93.27,45.23
Unnamed lake on Little Sioux River,Jackson,bighead carp,2012,-95.16,43.67
Unnamed lake on Little Sioux River,Jackson,bighead carp,2012,-95.16,43.67
Unnamed lake on Little Sioux River,Jackson,silver carp,2012,-95.16,43.67
Unnamed lake on Little Sioux River,Jackson,silver carp,2012,-95.16,43.67
Unnamed pond,Pope,zebra mussel,2012,-95.44,45.6
Unnamed pond (Valley Pond) in Valley Park,Dakota,Eurasian watermilfoil,2006,-93.03,44.7
Unnamed pond and channel in Sec 35 T135 R 29W,Crow Wing,zebra mussel,2010,-94.09,46.48
Unnamed pond in the NW 1/4 of S14 T117 R22,Hennepin,zebra mussel,2010,-93.47,45.02
Unnamed pond located in S14 and S15 T142 R39W,Becker,faucet snail,2012,-95.68,46.94
Unnamed pond located in S15 T142N R39W,Becker,faucet snail,2012,-95.68,46.94
Unnamed pond located in SE  of SW  of S14 T142 R39W,Becker,faucet snail,2013,-95.68,46.94
Unnamed pond located in SW  of SE  of S15 T142 R39W,Becker,faucet snail,2013,-95.68,46.94
Unnamed pond located in the NE  of NW  of S22 T142N R39W,Becker,faucet snail,2012,-95.68,46.94
Unnamed pond located in the NE  of SE  of S15 T142N R39W,Becker,faucet snail,2012,-95.68,46.94
Unnamed pond located in the NW 1/4 of NE  of S22 T142N R39W ,Becker,faucet snail,2012,-95.68,46.94
Unnamed pond located in the SE  of the SW  of S15 T142N R39W,Becker,faucet snail,2012,-95.68,46.94
Unnamed pond located in the SW  of SW  of S14 T142N R39W,Becker,faucet snail,2012,-95.68,46.94
Unnamed river from the outlet of Irene (21-0076) to Miltona (21-0083),Douglas,zebra mussel,2013,-95.45,45.93
Unnamed river from the outlet of Lake Miltona (21-0083) to Ida (21-0123),Douglas,zebra mussel,2013,-95.45,45.93
Unnamed stream connecting Big Rice Little Rice  Kitchi Pug Hole and Cass Lakes,Beltrami,zebra mussel,2014,-95.01,47.98
Unnamed stream connecting Kitchi Pug Hole and Cass Lakes,Cass,zebra mussel,2014,-94.29,46.88
Unnamed wetland,Hennepin,Eurasian watermilfoil,2000,-93.47,45.02
Unnamed wetland,Scott,Eurasian watermilfoil,2009,-93.6,44.68
Unnamed wetland (Heine Pond),Dakota,Eurasian watermilfoil,2010,-93.03,44.7
Unnamed wetland (located  in the NE 1/4 of the NE 1/4 of S33 T135N R27W),Crow Wing,zebra mussel,2006,-94.09,46.48
Unnamed wetland (located  in the NE 1/4 of the SW 1/4 of S3 T135N R27W),Crow Wing,zebra mussel,2006,-94.09,46.48
Unnamed wetland (located in the NE 1/4 of the NE 1/4 of S33 T31N R22W),Anoka,flowering rush,2007,-93.27,45.23
Unnamed wetland (located in the NE 1/4 of the SE 1/4 of S2 T46N R30W),Crow Wing,zebra mussel,2006,-94.09,46.48
Unnamed wetland (located in the NW 1/4 of the NE 1/4 of S33 T46N R30W),Crow Wing,zebra mussel,2006,-94.09,46.48
Unnamed wetland (Purgatory wetland),Hennepin,brittleleaf naiad,2014,-93.47,45.02
Unnamed wetland along Clearwater River,Stearns,Eurasian watermilfoil,1999,-94.59,45.53
Unnamed wetland connected to Paul Lake (56-0335),Otter Tail,zebra mussel,2013,-95.71,46.41
Unnamed wetland in the E 1/2 of S13 T117N R22W,Hennepin,zebra mussel,2010,-93.47,45.02
Unnamed wetland in the NE 1/4 of S20 T117N R21W,Hennepin,zebra mussel,2010,-93.47,45.02
Unnamed wetland in the NW 1/4 of S19 T117N R21W,Hennepin,zebra mussel,2010,-93.47,45.02
Unnamed wetland in the SE 1/4 of S11 and NE 1/4 of S14 T117N R22W,Hennepin,zebra mussel,2010,-93.47,45.02
Unnamed wetland in the SW 1/4 of S20 T117N R21W,Hennepin,zebra mussel,2010,-93.47,45.02
Unnamed wetland located  in the NE 1/4 of the SW 1/4  of S2 T46N R30W),Crow Wing,zebra mussel,2006,-94.09,46.48
Unnamed wetland located in S 16 T124N R39W,Pope,zebra mussel,2012,-95.44,45.6
Unnamed wetland located in S 20 and 21 T124N R39W,Pope,zebra mussel,2012,-95.44,45.6
Unnamed wetland located in S 20 T124N R39W,Pope,zebra mussel,2012,-95.44,45.6
Unnamed wetland located in S 9 and 16 T124N R39W,Pope,zebra mussel,2012,-95.44,45.6
Unnamed wetland located in S2 T143N R43W,Norman,faucet snail,2013,-96.46,47.33
Unnamed wetland NW 1/4 of S18 T117N R21W,Hennepin,zebra mussel,2010,-93.47,45.02
Upper Bottle,Hubbard,faucet snail,2019,-94.92,47.11
Upper Cormorant,Becker,zebra mussel,2019,-95.68,46.94
Upper Gull,Cass,zebra mussel,2010,-94.29,46.88
Upper Hay,Crow Wing,zebra mussel,2014,-94.09,46.48
Upper Maple,Wright,zebra mussel,2019,-93.89,45.2
Upper Mission,Crow Wing,Eurasian watermilfoil,2008,-94.09,46.48
Upper Pine,Pine,Eurasian watermilfoil,2022,-92.72,46.07
Upper Prior,Scott,Eurasian watermilfoil,2000,-93.6,44.68
Upper Prior,Scott,zebra mussel,2009,-93.6,44.68
Upper Sakatah,Le Sueur,flowering rush,2009,-93.78,44.37
Upper South Long,Crow Wing,Eurasian watermilfoil,2019,-94.09,46.48
Upper South Long,Crow Wing,zebra mussel,2021,-94.09,46.48
Upper Twin,Hubbard,faucet snail,2009,-94.92,47.11
Vadnais ,Ramsey,Eurasian watermilfoil,1995,-93.11,45.01
Vadnais,Ramsey,Eurasian watermilfoil,1995,-93.11,45.01
Vadnais,Ramsey,zebra mussel,2007,-93.11,45.01
Vadnais,Ramsey,zebra mussel,2007,-93.11,45.01
Venstrom,Otter Tail,zebra mussel,2014,-95.71,46.41
Vermilion,St. Louis,spiny waterflea,2015,-92.38,47.5
Victoria,Douglas,Eurasian watermilfoil,2017,-95.45,45.93
Victoria,Douglas,zebra mussel,2009,-95.45,45.93
Villard,Pope,zebra mussel,2020,-95.44,45.6
Virginia,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Virginia,Carver,zebra mussel,2014,-93.77,44.81
Wabasso,Ramsey,Eurasian watermilfoil,1995,-93.11,45.01
Wabonica Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Waconia,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Waconia,Carver,zebra mussel,2014,-93.77,44.81
Walker,Otter Tail,zebra mussel,2018,-95.71,46.41
Warroad River from 500 feet upstream of Highway 11 downstream to Lake of the Woods,Roseau,spiny waterflea,2007,-95.75,48.78
Washburn,Cass,Eurasian watermilfoil,2009,-94.29,46.88
Washington,Meeker,Eurasian watermilfoil,1999,-94.51,45.11
Washington,Meeker,zebra mussel,2015,-94.51,45.11
Wasserman,Carver,Eurasian watermilfoil,2001,-93.77,44.81
Watab Lake,Stearns,zebra mussel,2014,-94.59,45.53
Watab River from Watab Lake to the Mississippi River,Stearns,zebra mussel,2014,-94.59,45.53
Waverly,Wright,Eurasian watermilfoil,1995,-93.89,45.2
Waverly,Wright,zebra mussel,2021,-93.89,45.2
Weaver,Hennepin,Eurasian watermilfoil,2013,-93.47,45.02
Webster Slough,Murray,zebra mussel,2022,-95.77,44.02
Weigand,Wright,Eurasian watermilfoil,1999,-93.89,45.2
Wells,Rice,flowering rush,2007,-93.28,44.37
West Battle,Otter Tail,zebra mussel,2016,-95.71,46.41
West Fork Little Sioux River and its tributaries,Jackson,bighead carp,2012,-95.16,43.67
West Fork Little Sioux River and its tributaries,Jackson,silver carp,2012,-95.16,43.67
West Jefferson (DOW 40-0092-02),Le Sueur,Eurasian watermilfoil,2015,-93.78,44.37
West Lake Sylvia,Wright,starry stonewort,2016,-93.89,45.2
West Lake Sylvia,Wright,zebra mussel,2017,-93.89,45.2
West Lost,Otter Tail,zebra mussel,2017,-95.71,46.41
West McDonald,Otter Tail,zebra mussel,2019,-95.71,46.41
West Silent,Otter Tail,zebra mussel,2021,-95.71,46.41
West Sylvia,Wright,Eurasian watermilfoil,2008,-93.89,45.2
West Twin,St. Louis,spiny waterflea,2010,-92.38,47.5
Whaletail,Hennepin,Eurasian watermilfoil,1997,-93.47,45.02
Whiskey,Douglas,zebra mussel,2017,-95.45,45.93
White Bear,Washington,Eurasian watermilfoil,1995,-92.88,45.02
White Bear,Washington,zebra mussel,2014,-92.88,45.02
White Pine River,St. Louis,zebra mussel,2009,-92.38,47.5
White Sand,Crow Wing,Eurasian watermilfoil,2015,-94.09,46.48
Whitefish ,Crow Wing,zebra mussel,2014,-94.09,46.48
Willmar,Kandiyohi,zebra mussel,2022,-95.01,45.15
Wilmes,Washington,Eurasian watermilfoil,2007,-92.88,45.02
Winnibigoshish,Cass,faucet snail,2009,-94.29,46.88
Winnibigoshish,Cass,faucet snail,2009,-94.29,46.88
Winnibigoshish,Itasca,faucet snail,2009,-93.73,47.46
Winnibigoshish,Cass,zebra mussel,2013,-94.29,46.88
Winnibigoshish,Cass,zebra mussel,2013,-94.29,46.88
Winnibigoshish,Itasca,zebra mussel,2013,-93.73,47.46
Winona,Winona,Eurasian watermilfoil,2007,-91.78,44.02
Winter Road River from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,-94.9,48.88
Wirth,Hennepin,Eurasian watermilfoil,1997,-93.47,45.02
Wolf,Meeker,Eurasian watermilfoil,2006,-94.51,45.11
Wolf,Beltrami,starry stonewort,2018,-95.01,47.98
Wolf,Beltrami,zebra mussel,2014,-95.01,47.98
Wolfe,Hennepin,Eurasian watermilfoil,2004,-93.47,45.02
Woman,Cass,zebra mussel,2021,-94.29,46.88
Wright,Otter Tail,zebra mussel,2017,-95.71,46.41
Zumbra,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Zumbro,Olmsted,zebra mussel,2000,-92.38,44.02
Zumbro River downstream of Zumbro including 500 feet upstream into its tributaries,Wabasha,zebra mussel,2000,-92.21,44.28
Zumwalde,Stearns,zebra mussel,2018,-94.59,45.53
