,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
473,Leech,Cass,Eurasian watermilfoil,2005
474,Leech,Cass,starry stonewort,2021
475,Leech,Cass,zebra mussel,2016
476,Leech Lake River between Mud Lake and Mississippi River,Cass,faucet snail,2010
477,Leek,Otter Tail,zebra mussel,2021
478,Leif,Becker,zebra mussel,2021
479,Leven,Pope,zebra mussel,2021
480,Libbs,Hennepin,Eurasian watermilfoil,1995
481,Libbs,Hennepin,zebra mussel,2012
482,Lida (North and South),Otter Tail,zebra mussel,2014
483,Lida (North and South),Otter Tail,zebra mussel,2014
484,Limestone,Wright,zebra mussel,2022
485,Linn,Chisago,Eurasian watermilfoil,2022
486,Linwood,Anoka,Eurasian watermilfoil,2014
487,Little,Chisago,Eurasian watermilfoil,2022
488,Little Birch,Todd,Eurasian watermilfoil,2004
489,Little Birch,Todd,zebra mussel,2016
490,Little Chippewa,Douglas,zebra mussel,2017
491,Little Comfort,Chisago,Eurasian watermilfoil,2021
492,Little Comfort,Chisago,zebra mussel,2017
493,Little Cut Foot,Itasca,faucet snail,2009
494,Little Cut Foot,Itasca,zebra mussel,2013
495,Little Elk,Sherburne,Eurasian watermilfoil,2004
496,Little Fork River from 100 feet upstream of Highway 11 downstream to the Rainy River,Koochiching,spiny waterflea,2007
497,Little Hanging Horn,Carlton,Eurasian watermilfoil,2016
498,Little Horseshoe,Chisago,Eurasian watermilfoil,2015
499,Little Jay Gould,Itasca,zebra mussel,2019
500,Little John ,Cook,spiny waterflea,2009
501,Little Long,Hennepin,Eurasian watermilfoil,1995
502,Little Mary,Wright,Eurasian watermilfoil,2007
503,Little McDonald,Otter Tail,zebra mussel,2013
504,Little Mud,Meeker,Eurasian watermilfoil,2009
505,Little Osakis,Todd,zebra mussel,2016
506,Little Pelican,Otter Tail,flowering rush,2021
507,Little Pelican,Otter Tail,zebra mussel,2009
508,Little Pine,Aitkin,zebra mussel,2020
509,Little Pine,Crow Wing,zebra mussel,2014
510,Little Pine,Otter Tail,zebra mussel,2020
511,Little Rabbit,Crow Wing,zebra mussel,2006
512,Little Red Sand,Cass,zebra mussel,2020
513,Little Rice,Beltrami,zebra mussel,2014
514,Little Rock,Benton,zebra mussel,2006
515,Little Rock Lake Channel,Benton,zebra mussel,2006
516,Little Rose,Otter Tail,zebra mussel,2021
517,Little Sand,Itasca,zebra mussel,2013
518,Little Sauk,Todd,zebra mussel,2017
519,Little Sioux River and its tributaries,Jackson,bighead carp,2012
520,Little Sioux River and its tributaries,Jackson,silver carp,2012
521,Little Spirit,Jackson,bighead carp,2012
522,Little Spirit,Jackson,silver carp,2012
523,Little Vermilion,St. Louis,spiny waterflea,2007
524,Little Waverly,Wright,Eurasian watermilfoil,1995
525,Little Waverly,Wright,zebra mussel,2021
526,Little Winnibigoshish,Itasca,faucet snail,2010
527,Little Winnibigoshish,Itasca,zebra mussel,2013
528,Lizzie,Otter Tail,zebra mussel,2009
529,Lizzie,Otter Tail,zebra mussel,2009
530,Lobster,Douglas,zebra mussel,2014
531,Locke,Anoka,Eurasian watermilfoil,2021
532,Locke,Wright,Eurasian watermilfoil,2011
533,Locke,Wright,zebra mussel,2021
534,Loeb,Ramsey,Eurasian watermilfoil,2004
535,Lomond,Clearwater,zebra mussel,2019
536,Long,Hennepin,Eurasian watermilfoil,1995
537,Long,Isanti,Eurasian watermilfoil,2007
538,Long,Ramsey,Eurasian watermilfoil,2015
539,Long,Washington,Eurasian watermilfoil,2006
540,Long,Washington,Eurasian watermilfoil,2009
541,Long,Washington,Eurasian watermilfoil,2008
542,Long,Washington,Eurasian watermilfoil,2016
543,Long,Hubbard,faucet snail,2017
544,Long,Becker,zebra mussel,2020
545,Long,Hubbard,zebra mussel,2020
546,Long,Kandiyohi,zebra mussel,2022
547,Long,Otter Tail,zebra mussel,2018
548,Long,Otter Tail,zebra mussel,2018
549,Long,Ramsey,zebra mussel,2019
550,Long,Stearns,zebra mussel,2021
551,Long (Tame Fish),Crow Wing,Eurasian watermilfoil,2010
552,Long / Tame Fish,Crow Wing,zebra mussel,2020
553,Long Lake,Douglas,zebra mussel,2014
554,Long Prairie River including 500 feet upstream into its tributaries ,Multiple (Cass Douglas Morrison and Todd),zebra mussel,2009
555,Loon,Jackson,bighead carp,2012
556,Loon,Jackson,silver carp,2012
557,Loon,St. Louis,spiny waterflea,2009
558,Loon (Island-Loon),Crow Wing,zebra mussel,2014
559,Loon Creek between Loon and Spirit,Jackson,bighead carp,2012
560,Loon Creek between Loon and Spirit,Jackson,silver carp,2012
561,Lottie (Taylor),Douglas,zebra mussel,2011
562,Lotus,Carver,brittleleaf naiad,2017
563,Lotus,Carver,Eurasian watermilfoil,1995
564,Lotus,Hennepin,zebra mussel,2019
565,Louisa,Wright,Eurasian watermilfoil,2022
566,Louise,Douglas,zebra mussel,2014
567,Louise Mine,Crow Wing,Eurasian watermilfoil,2009
568,Louise Mine,Crow Wing,zebra mussel,2020
569,Love,Crow Wing,zebra mussel,2010
570,Lower Cullen,Crow Wing,zebra mussel,2016
571,Lower Hay,Crow Wing,zebra mussel,2014
572,Lower Mission,Crow Wing,Eurasian watermilfoil,2008
573,Lower Orono,Sherburne,zebra mussel,2020
574,Lower Prior,Scott,Eurasian watermilfoil,1995
575,Lower Prior,Scott,zebra mussel,2009
576,Lower Spunk,Stearns,Eurasian watermilfoil,2014
577,Lower Twin,Wadena,faucet snail,2009
578,Lower Watab,Stearns,zebra mussel,2014
579,Lucy,Carver,Eurasian watermilfoil,2007
580,Lundsten,Carver,Eurasian watermilfoil,2019
581,Lura,Blue Earth,Eurasian watermilfoil,2005
582,Madison,Blue Earth,Eurasian watermilfoil,2010
583,Magda,Hennepin,Eurasian watermilfoil,2015
584,Mahnomen,Crow Wing,zebra mussel,2021
585,Mahnomen Mine #1,Crow Wing,zebra mussel,2017
586,Mahnomen Mine #2,Crow Wing,zebra mussel,2017
587,Mahnomen Mine #3,Crow Wing,zebra mussel,2017
588,Mandall,Chisago,Eurasian watermilfoil,2021
589,Mangan Mine Pit,Crow Wing,zebra mussel,2016
590,Mantrap,Hubbard,Eurasian watermilfoil,2020
591,Manuella,Meeker,Eurasian watermilfoil,2006
592,Maple,Wright,Eurasian watermilfoil,2007
593,Maple,Wright,Eurasian watermilfoil,2007
594,Maple,Douglas,zebra mussel,2014
595,Maple (Northeast Bay),Wright,zebra mussel,2019
596,Maple (Upper Maple),Wright,flowering rush,2015
597,Maple (Upper Maple),Wright,flowering rush,2015
598,Margaret,Cass,zebra mussel,2010
599,Marie,Stearns,Eurasian watermilfoil,2017
600,Marion,Dakota,Eurasian watermilfoil,1998
601,Marion,Dakota,zebra mussel,2017
602,Marquette,Beltrami,zebra mussel,2018
603,Marshan,Anoka,Eurasian watermilfoil,2010
604,Mary,Crow Wing,Eurasian watermilfoil,2017
605,Mary,Todd,Eurasian watermilfoil,2018
606,Mary,Wright,Eurasian watermilfoil,1997
607,Mary,Douglas,zebra mussel,2014
608,Maud,Becker,zebra mussel,2016
609,Mazaska,Rice,Eurasian watermilfoil,2010
610,McCarron,Ramsey,Eurasian watermilfoil,2000
611,McCarron,Ramsey,zebra mussel,2019
612,McColl,Scott,Eurasian watermilfoil,2009
613,McCormack,St. Louis,Eurasian watermilfoil,2013
614,McCraney,Mahnomen,faucet snail,2015
615,McDonough,Dakota,Eurasian watermilfoil,2016
616,McFarland,Cook,spiny waterflea,2005
617,McKinney,Itasca,Eurasian watermilfoil,1999
618,McMahon,Scott,Eurasian watermilfoil,2007
619,Meadowbrook,Hennepin,zebra mussel,2010
620,Medicine,Hennepin,Eurasian watermilfoil,1995
621,Medicine,Hennepin,starry stonewort,2018
622,Medicine,Hennepin,zebra mussel,2017
623,Melissa,Becker,flowering rush,2007
624,Melissa,Becker,zebra mussel,2014
625,Melrose,Stearns,zebra mussel,2018
626,Mesabi Mt. Pit,St. Louis,zebra mussel,2019
627,Middle,Otter Tail,zebra mussel,2020
628,Middle Cormorant,Becker,zebra mussel,2019
629,Middle Jefferson,Le Sueur,Eurasian watermilfoil,2010
630,Middle Pomme de Terre,Stevens,zebra mussel,2018
631,Middle Spunk,Stearns,Eurasian watermilfoil,2014
632,Mill,Becker,flowering rush,2009
633,Mill Lake,Douglas,zebra mussel,2014
634,Mill Pond,Becker,zebra mussel,2014
635,Mille Lacs,Mille Lacs,Eurasian watermilfoil,1999
636,Mille Lacs,Mille Lacs,spiny waterflea,2009
637,Mille Lacs,Mille Lacs,zebra mussel,2006
638,Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple (Aitkin Crow Wing and Mille Lacs),Eurasian watermilfoil,1999
639,Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple (Aitkin Crow Wing and Mille Lacs),spiny waterflea,2009
640,Mille Lacs tributaries from their mouths upstream to the posted boundaries,Multiple (Aitkin Crow Wing and Mille Lacs),zebra mussel,2006
641,Miller,Carver,zebra mussel,2018
642,Miller,Crow Wing,zebra mussel,2006
643,Miller Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007
644,Miltona,Douglas,zebra mussel,2013
645,Mina,Douglas,zebra mussel,2014
646,Mineral,Otter Tail,zebra mussel,2019
647,Mink,Wright,Eurasian watermilfoil,2004
648,Mink,Wright,Eurasian watermilfoil,2014
649,Mink,Wright,zebra mussel,2023
650,Minnehaha Creek,Hennepin,Eurasian watermilfoil,1995
651,Minnehaha Creek,Hennepin,Eurasian watermilfoil,2007
652,Minnehaha Creek,Hennepin,flowering rush,2009
653,Minnehaha Creek,Hennepin,flowering rush,2009
654,Minnehaha Creek between Minnetonka and Nokomis,Hennepin,zebra mussel,2010
655,Minnehaha Creek between Minnetonka and Nokomis,Hennepin,zebra mussel,2010
656,Minnehaha Marsh,Hennepin,zebra mussel,2010
657,Minnesota River,Multiple (Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),bighead carp,2017
658,Minnesota River,Multiple (Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),grass carp,2017
659,Minnesota River,Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey,zebra mussel,2017
660,Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017
661,Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017
662,Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017
663,Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017
664,Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017
665,Minnesota River,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017
666,Minnesota River - Granite Falls,Yellow Medicine,zebra mussel,2016
667,Minnesota River - Lac Qui Parle,Lac qui Parle Chippewa Swift,zebra mussel,2016
668,Minnesota River - Minnesota Falls,Multiple (Big Stone Lac Qui Parle Swift Chippewa Yellow Medicine Renville Redwood Brown Nicollet Sibley Blue Earth Le Sueur Scott Carver Hennepin Dakota Ramsey),zebra mussel,2017
669,Minnetonka,Hennepin,Eurasian watermilfoil,1995
670,Minnetonka,Hennepin,flowering rush,2009
671,Minnetonka,Hennepin,zebra mussel,2010
672,Minnewashta,Carver,Eurasian watermilfoil,1995
673,Minnewashta,Carver,zebra mussel,2016
674,Minnewaska,Pope,Eurasian watermilfoil,1998
675,Minnewaska,Pope,starry stonewort,2017
676,Minnewaska,Pope,zebra mussel,2012
677,Minnie-Belle,Meeker,Eurasian watermilfoil,2010
678,Minnie-Belle,Meeker,zebra mussel,2020
679,Mississippi River -  U.S. Lock & Dam #3 Pool (main channel),Goodhue,flowering rush,2021
680,Mississippi River -  U.S. Lock & Dam #3 Pool (WI),Multiple,flowering rush,2021
681,Mississippi River -  U.S. Lock & Dam #4 Pool,Multiple,faucet snail,2016
682,Mississippi River -  U.S. Lock & Dam #4 Pool,multiple,flowering rush,2020
683,Mississippi River -  U.S. Lock & Dam #5 Pool (main channel),Multiple,faucet snail,2016
684,Mississippi River -  U.S. Lock & Dam #5 Pool (main channel),multiple,flowering rush,2020
685,Mississippi River -  U.S. Lock & Dam #5A Pool (main channel),Multiple,faucet snail,2016
686,Mississippi River -  U.S. Lock & Dam #5A Pool (main channel),multiple,flowering rush,2021
687,Mississippi River -  U.S. Lock & Dam #6 Pool,Multiple,faucet snail,2016
688,Mississippi River -  U.S. Lock & Dam #6 Pool,multiple,flowering rush,2021
689,Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,bighead carp,2012
690,Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,Eurasian watermilfoil,2007
691,Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,grass carp,2015
692,Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,silver carp,2012
693,Mississippi River -  U.S. Lock & Dam #6 Pool (WI),NOT IN MN,zebra mussel,2007
694,Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,bighead carp,2012
695,Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,Eurasian watermilfoil,2007
696,Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,faucet snail,2013
697,Mississippi River -  U.S. Lock & Dam #7 Pool,multiple,flowering rush,2021
698,Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,grass carp,2015
699,Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,silver carp,2012
700,Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,zebra mussel,2007
701,Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,bighead carp,2012
702,Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,Eurasian watermilfoil,2007
703,Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,faucet snail,2013
704,Mississippi River -  U.S. Lock & Dam #8 Pool,multiple,flowering rush,2020
705,Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,grass carp,2015
706,Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,silver carp,2012
707,Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,zebra mussel,2007
708,Mississippi River -  U.S. Lock & Dam #9 Pool,Houston,flowering rush,2021
709,Mississippi River - Blackbird Slough,Winona,bighead carp,2012
710,Mississippi River - Blackbird Slough,Winona,Eurasian watermilfoil,2007
711,Mississippi River - Blackbird Slough,Winona,grass carp,2015
712,Mississippi River - Blackbird Slough,Winona,silver carp,2012
713,Mississippi River - Blackbird Slough,Winona,zebra mussel,2007
714,Mississippi River - Blandin Reservoir,Itasca,zebra mussel,2018
715,Mississippi River - Stump,Beltrami,zebra mussel,2018
716,Mississippi River - Sturgeon,Goodhue,bighead carp,2012
717,Mississippi River - Sturgeon,Goodhue,Eurasian watermilfoil,2007
718,Mississippi River - Sturgeon,Goodhue,grass carp,2015
719,Mississippi River - Sturgeon,Goodhue,silver carp,2012
720,Mississippi River - Sturgeon,Goodhue,zebra mussel,2007
721,Mississippi River - Twin,Goodhue,bighead carp,2012
722,Mississippi River - Twin,Goodhue,Eurasian watermilfoil,2007
723,Mississippi River - Twin,Goodhue,grass carp,2015
724,Mississippi River - Twin,Goodhue,silver carp,2012
725,Mississippi River - Twin,Goodhue,zebra mussel,2007
726,Mississippi River - West Newton Chute,Wabasha,bighead carp,2012
727,Mississippi River - West Newton Chute,Wabasha,Eurasian watermilfoil,2007
728,Mississippi River - West Newton Chute,Wabasha,grass carp,2015
729,Mississippi River - West Newton Chute,Wabasha,silver carp,2012
730,Mississippi River - West Newton Chute,Wabasha,zebra mussel,2007
731,Mississippi River between Wolf Andrusia Cass and  Winnibigoshish,Multiple (Beltrami Cass and Itasca),zebra mussel,2014
732,Mississippi River from the Knutson Dam downstream to Little Winnibigoshish Lake (31-0850) ,Multiple (Beltrami Cass and Itasca),zebra mussel,2013
733,Mississippi River from the Knutson Dam downstream to Little Winnibigoshish Lake (31-0850),Multiple (Beltrami Cass and Itasca),zebra mussel,2013
734,Mississippi River from 500 feet upstream of the mouth of the Pine River in Crow Wing County to Upper St. Anthony Falls including 500 feet upstream into its tributaries,Multiple,zebra mussel,2007
735,Mississippi River from the Knutson Dam downstream to Lake Winnibigoshish and between Lake Winnibigoshish and the confluence of the main channel of the Mississippi River and White Oak Lake branch of the Mississippi River in the SE1/4 of the NW1/4 of Sect,Multiple (Beltrami Cass and Itasca),faucet snail,2009
736,Mississippi River Pool 1,Multiple,bighead carp,2015
737,Mississippi River Pool 1,Multiple,Eurasian watermilfoil,1995
738,Mississippi River Pool 1,Multiple,Eurasian watermilfoil,2007
739,Mississippi River Pool 1,Multiple,Eurasian watermilfoil,2007
740,Mississippi River Pool 1,Multiple,grass carp,2015
741,Mississippi River Pool 1,Multiple,silver carp,2015
742,Mississippi River Pool 1 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
743,Mississippi River Pool 1 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
744,Mississippi River Pool 1 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
745,Mississippi River Pool 2,Multiple,bighead carp,2012
746,Mississippi River Pool 2,Multiple,bighead carp,2012
747,Mississippi River Pool 2,Multiple,bighead carp,2012
748,Mississippi River Pool 2,Multiple,bighead carp,2012
749,Mississippi River Pool 2,Multiple,bighead carp,2012
750,Mississippi River Pool 2,Multiple,bighead carp,2012
751,Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995
752,Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995
753,Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995
754,Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995
755,Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995
756,Mississippi River Pool 2,Multiple,Eurasian watermilfoil,1995
757,Mississippi River Pool 2,Multiple,flowering rush,2015
758,Mississippi River Pool 2,Multiple,flowering rush,2015
759,Mississippi River Pool 2,Multiple,flowering rush,2015
760,Mississippi River Pool 2,Multiple,flowering rush,2015
761,Mississippi River Pool 2,Multiple,flowering rush,2015
762,Mississippi River Pool 2,Multiple,flowering rush,2015
763,Mississippi River Pool 2,Multiple,grass carp,2015
764,Mississippi River Pool 2,Multiple,grass carp,2015
765,Mississippi River Pool 2,Multiple,grass carp,2015
766,Mississippi River Pool 2,Multiple,grass carp,2015
767,Mississippi River Pool 2,Multiple,grass carp,2015
768,Mississippi River Pool 2,Multiple,grass carp,2015
769,Mississippi River Pool 2,Multiple,silver carp,2015
770,Mississippi River Pool 2,Multiple,silver carp,2015
771,Mississippi River Pool 2,Multiple,silver carp,2015
772,Mississippi River Pool 2,Multiple,silver carp,2015
773,Mississippi River Pool 2,Multiple,silver carp,2015
774,Mississippi River Pool 2,Multiple,silver carp,2015
775,Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
776,Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
777,Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
778,Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
779,Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
780,Mississippi River Pool 2 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
781,Mississippi River Pool 3,Multiple,bighead carp,2012
782,Mississippi River Pool 3,Multiple,bighead carp,2012
783,Mississippi River Pool 3,Multiple,bighead carp,2012
784,Mississippi River Pool 3,Multiple,bighead carp,2012
785,Mississippi River Pool 3,Multiple,bighead carp,2012
786,Mississippi River Pool 3,Multiple,bighead carp,2012
787,Mississippi River Pool 3,Multiple,bighead carp,2012
788,Mississippi River Pool 3,Multiple,bighead carp,2012
789,Mississippi River Pool 3,Multiple,bighead carp,2012
790,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
791,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
792,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
793,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
794,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
795,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
796,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
797,Mississippi River Pool 3,Multiple,Eurasian watermilfoil,1995
798,Mississippi River Pool 3,Multiple,grass carp,2015
799,Mississippi River Pool 3,Multiple,grass carp,2015
800,Mississippi River Pool 3,Multiple,grass carp,2015
801,Mississippi River Pool 3,Multiple,grass carp,2015
802,Mississippi River Pool 3,Multiple,grass carp,2015
803,Mississippi River Pool 3,Multiple,grass carp,2015
804,Mississippi River Pool 3,Multiple,grass carp,2015
805,Mississippi River Pool 3,Multiple,grass carp,2015
806,Mississippi River Pool 3,Multiple,grass carp,2015
807,Mississippi River Pool 3,Multiple,silver carp,2012
808,Mississippi River Pool 3,Multiple,silver carp,2012
809,Mississippi River Pool 3,Multiple,silver carp,2012
810,Mississippi River Pool 3,Multiple,silver carp,2012
811,Mississippi River Pool 3,Multiple,silver carp,2012
812,Mississippi River Pool 3,Multiple,silver carp,2012
813,Mississippi River Pool 3,Multiple,silver carp,2012
814,Mississippi River Pool 3,Multiple,silver carp,2012
815,Mississippi River Pool 3,Multiple,silver carp,2012
816,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
817,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
818,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
819,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
820,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
821,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
822,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
823,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
824,Mississippi River Pool 3 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
825,Mississippi River Pool 4,Multiple,bighead carp,2012
826,Mississippi River Pool 4,Multiple,bighead carp,2012
827,Mississippi River Pool 4,Multiple,bighead carp,2012
828,Mississippi River Pool 4,Multiple,bighead carp,2012
829,Mississippi River Pool 4,Multiple,bighead carp,2012
830,Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995
831,Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995
832,Mississippi River Pool 4,Multiple,Eurasian watermilfoil,1995
